log_lambda,lambda,avg_train_error_no_noise,avg_test_error_no_noise,avg_train_error_with_noise,avg_test_error_with_noise,error_ratio_no_noise,error_ratio_with_noise,sparsity_ratio_no_noise,sparsity_ratio_with_noise
0.0,1.0,0.9190520276476869,2.6577251944046383,2.7608628796269294,18367.148065976064,2.8918114692669623,6652.683913247435,0.21070000000000003,0.5361
0.08126770916449574,1.0846612314544049,1.0205826816074752,2.743899361015457,2.6396609179198163,2213.7291529245645,2.6885615545559336,838.6414853120956,0.2003,0.4896999999999999
0.16253541832899143,1.176489987020186,1.1337177308062816,2.849830696580654,2.4857622485174007,274.0697336395645,2.5137039133664256,110.2558113926743,0.188,0.449
0.24380312749348718,1.2760930781150917,1.2600027070755124,2.9780032993022796,2.3847603052376884,97.05242369020971,2.363489604093213,40.69693020176991,0.1769,0.41869999999999996
0.32507083665798286,1.3841286895587572,1.4015965226094749,3.133048940699195,2.3372258094136282,48.375874826350255,2.2353429750711165,20.69798931344463,0.16899999999999998,0.3841
0.40633854582247864,1.5013107289081733,1.560629358681701,3.317869632812292,2.325127951326376,28.547756164154787,2.1259818126290866,12.277929112619216,0.16009999999999996,0.3509
0.4876062549869744,1.6284135440132494,1.7385760902747518,3.531390797512434,2.375523994752003,19.058502758567517,2.0311971487853366,8.022862661320818,0.15119999999999997,0.31789999999999996
0.5688739641514702,1.766277039966443,1.9393473420585063,3.7820178209232225,2.469932136851838,14.107135751672729,1.9501497946772273,5.711547917123589,0.14359999999999998,0.2892
0.6501416733159658,1.915812229259643,2.166629888652665,4.070185331425129,2.630218878906941,11.604634273782095,1.878578963920877,4.412041281752458,0.1375,0.264
0.7314093824804615,2.0780072518241726,2.4260203531141733,4.40308060057661,2.8467795755799408,10.184887109341103,1.81493967885495,3.5776872915305558,0.1313,0.2384
0.8126770916449573,2.2539339047347906,2.7226444141262194,4.791861492082022,3.104171482507991,9.36661221748202,1.7600026897452485,3.0174274424795433,0.1253,0.21620000000000003
0.8939448008094532,2.4447547247264736,3.0621374475748766,5.247033913108554,3.4059379984784193,8.940336781521788,1.7135200502720906,2.624926462406487,0.11950000000000001,0.1969
0.9752125099739487,2.651730670325791,3.448936899102771,5.770644793662174,3.7584686771914186,8.814028229257685,1.6731662429554415,2.3451115297957257,0.11510000000000001,0.17910000000000004
1.0564802191384446,2.876229454360987,3.895249403985517,6.374008340113353,4.170072309628238,8.897833881154494,1.6363543586173546,2.1337361130670023,0.1113,0.1606
1.1377479283029404,3.119734581912619,4.406319991273849,7.063397785704131,4.643513562235677,9.18624206906863,1.6030151690508825,1.9782955182423974,0.10699999999999998,0.1445
1.219015637467436,3.383855153428234,4.98879430707354,7.843716967208661,5.187809189161124,9.639416802783362,1.5722670618203614,1.8580900822109978,0.10299999999999998,0.13440000000000002
1.3002833466319317,3.670336497780802,5.650390530465813,8.725977548858,5.810477219441911,10.248132992469944,1.5443140614457027,1.7637334431291796,0.0977,0.1243
1.3815510557964275,3.9810717055349722,6.399197846484826,9.716943254367218,6.518902969054063,10.980667604722589,1.5184627022752357,1.6844348898655195,0.09369999999999999,0.11600000000000002
1.462818764960923,4.318114138633851,7.247611004447416,10.82379647759507,7.325328895007466,11.862754352105451,1.493429555056579,1.6194159364216998,0.08969999999999999,0.1065
1.5440864741254188,4.683690999171269,8.194600584979932,12.01954057867659,8.250421779440247,12.896837130359259,1.4667634442986124,1.5631730686178629,0.08509999999999998,0.1008
1.6253541832899145,5.0802180469130205,9.26285092993653,13.338786462212003,9.309051762650453,14.099257702387508,1.4400303495225741,1.5145750675655496,0.0819,0.0933
1.7066218924544105,5.510315562821569,10.472880770524014,14.814309807473128,10.507398139698788,15.469879676325656,1.4145400995271609,1.4722845247366942,0.07769999999999999,0.08739999999999999
1.787889601618906,5.976825664072415,11.839943147889583,16.463942980925502,11.852056716246633,16.99321159479861,1.3905424017057149,1.4337774448467289,0.0744,0.0809
1.8691573107834019,6.482831084981076,13.376456532001109,18.28445410239096,13.369871240112165,18.713123292164813,1.3669131326856423,1.3996487293027828,0.07019999999999998,0.07649999999999998
1.9504250199478976,7.031675547946469,15.095126257119352,20.290196354116702,15.070447392390026,20.603009940175472,1.344155458424681,1.3671133579338308,0.06639999999999999,0.07199999999999998
2.031692729112393,7.626985859023444,17.02417367867451,22.494511069264295,16.970788824350944,22.69066210084919,1.321327630570537,1.3370422751528763,0.06349999999999999,0.06689999999999999
2.1129604382768887,8.2726958741337,19.191574517260005,24.91876421302407,19.092065093367026,24.990912188630162,1.2984220857237794,1.3089685199801941,0.0603,0.06229999999999999
2.1942281474413847,8.973072494285633,21.582309485352674,27.49227509571505,21.471954504862524,27.55103436794837,1.2738337903259755,1.2831172104853883,0.056299999999999996,0.058800000000000005
2.2754958566058807,9.732743861581504,24.245509932662188,30.32663567664278,24.112700823819278,30.33560449384483,1.2508145120836762,1.2580757632873034,0.0522,0.0541
2.356763565770376,10.556729942333291,27.152530738176658,33.3596571608317,26.979246981397118,33.29556774468486,1.228602132247208,1.2341177560531251,0.0489,0.0495
2.438031274934872,11.450475699382817,30.290166332371722,36.5126507260004,30.09067384716949,36.45264462608891,1.2054291919479683,1.2114266636643587,0.045099999999999994,0.045599999999999995
2.5192989840993674,12.419887072831301,33.721026076580436,39.950324413083045,33.488437432454155,39.869358060055205,1.1847303911321048,1.1905410080858894,0.041499999999999995,0.0419
2.6005666932638634,13.471370006941845,37.37986196892667,43.57161071051812,37.121588672282726,43.47608551666931,1.1656439701874384,1.1711806275449423,0.037899999999999996,0.038099999999999995
