log_lambda,lambda,avg_train_error_no_noise,avg_pred_error_no_noise,avg_train_error_with_noise,avg_pred_error_with_noise
-4.605170185988091,0.01,1.7678680517036853,223.0337234658737,12.557632344124443,7862878.460630512
-4.4641955884578435,0.011513953993264475,2.2653574377513412,213.28520576140198,12.37022972056685,6853138.604261739
-4.323220990927596,0.013257113655901088,2.8915095120055248,202.809515327547,12.224219459696092,5789656.441681914
-4.182246393397349,0.015264179671752334,3.6687086928094903,191.72754764930588,12.112917454359037,4692838.304778209
-4.0412717958671,0.017575106248547922,4.6328402231359105,179.93751378861674,12.079758098701111,3590745.538286586
-3.900297198336853,0.020235896477251575,5.822260870450936,167.69911892145177,12.101679042781548,2520230.8774513467
-3.7593226008066054,0.023299518105153717,7.278024503902132,155.2462268283504,12.313119715091903,1540196.6679923872
-3.6183480032763575,0.02682695795279726,9.060242308793924,142.51334995205468,12.78371937218742,732962.6374434321
-3.4773734057461096,0.030888435964774818,11.254368485945713,129.65211354505004,13.0872029896958,206654.9747343896
-3.336398808215862,0.03556480306223129,13.890932139600658,116.98933499889675,12.503081674277498,20761.229884226526
-3.1954242106856143,0.040949150623804255,16.985692468874028,104.80631053434946,13.745228023648306,857.8443163808374
-3.0544496131553664,0.04714866363457394,20.613608810707774,93.13380155307922,16.754869602435257,342.0862227101897
-2.913475015625119,0.054286754393238594,24.816946764756782,82.1399226076385,20.97147392846484,208.30759635648693
-2.7725004180948716,0.06250551925273973,29.72753536317794,71.94050463409903,25.876862462002887,145.4727558376722
-2.6315258205646237,0.07196856730011521,35.294993297043845,62.60336198130952,31.232483847345165,107.8834873878198
-2.4905512230343763,0.08286427728546843,41.47097178219187,54.038773144531916,37.384431144684214,82.55283997015144
-2.3495766255041284,0.09540954763499938,48.26908089310824,46.2493556223879,44.28139386829232,64.69483165974952
-2.2086020279738805,0.10985411419875583,55.678711478754686,39.32098270887504,51.936150700904,51.64516671700468
-2.067627430443633,0.12648552168552957,63.661722996374095,33.39148016235424,60.2954606702473,41.649274067397236
-1.9266528329133852,0.14563484775012436,72.17685539447339,28.503829294428886,68.87344697917672,34.08056217027994
-1.7856782353831375,0.16768329368110083,80.6302433222673,24.66485019415183,77.58030788584416,28.350447616329905
-1.64470363785289,0.19306977288832497,88.55130376811405,21.977734923734598,85.85938498171546,24.32735810243097
-1.5037290403226422,0.22229964825261944,95.30969511152274,20.20601151896152,92.95263170561611,21.80020930748234
-1.3627544427923943,0.2559547922699536,100.25217438224342,19.301124148164646,98.50794219501917,20.35536160459717
-1.2217798452621471,0.29470517025518095,103.40784820932244,19.015963650750436,102.19851133557931,19.56396703895035
-1.0808052477318992,0.3393221771895328,104.92882133655903,19.053208841554973,104.41620607742625,19.191651358030708
-0.9398306502016512,0.3906939937054617,105.63538290143151,19.146791840230126,105.39296561571992,19.136647663711457
-0.7988560526714035,0.44984326689694465,105.82642701361084,19.149250120293953,105.79586923406897,19.150375250085318
-0.6578814551411561,0.517947467923121,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
-0.5169068576109083,0.5963623316594643,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
-0.37593226008066033,0.6866488450043002,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
-0.23495766255041314,0.7906043210907697,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
-0.09398306502016521,0.9102981779915218,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
0.04699153251008206,1.0481131341546852,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
0.1879661300403304,1.2067926406393288,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
0.32894072757057785,1.3894954943731375,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
0.4699153251008252,1.5998587196060574,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
0.6108899226310736,1.8420699693267164,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
0.7518645201613209,2.1209508879201904,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
0.8928391176915682,2.44205309454865,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
1.0338137152218165,2.8117686979742307,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
1.174788312752064,3.2374575428176433,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
1.3157629102823112,3.727593720314938,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
1.4567375078125597,4.291934260128778,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
1.597712105342807,4.941713361323833,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
1.7386867028730542,5.689866029018293,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
1.8796613004033027,6.551285568595509,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
2.02063589793355,7.543120063354615,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
2.161610495463797,8.68511373751352,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
2.302585092994046,10.0,105.82642701361084,19.149250120293953,105.82642701361084,19.149250120293953
