log_lambda,lambda,train_error_no_noise,pred_error_no_noise,train_error_with_noise,pred_error_with_noise
-4.605170185988091,0.01,2.202759724593212,308.59225712356823,10.942002987145417,7965758.713191289
-4.4641955884578435,0.011513953993264475,2.839186088883982,290.0578653496482,10.824141792130757,6938302.524808984
-4.323220990927596,0.013257113655901088,3.6658161052143727,270.81553813186235,10.851563300264644,5847525.692761941
-4.182246393397349,0.015264179671752334,4.709378980722551,252.5835552430515,10.839053668964103,4723395.129181457
-4.0412717958671,0.017575106248547922,6.029048253174364,231.35681199754697,11.066463846709311,3590181.8595875413
-3.900297198336853,0.020235896477251575,7.6517893744942596,212.22653394961932,11.763158753322145,2476997.1776212244
-3.7593226008066054,0.023299518105153717,9.575761537532932,193.72189002924858,12.712508511325508,1480337.7521780767
-3.6183480032763575,0.02682695795279726,11.958918116603398,174.16542317709977,13.695543667010375,660079.0429360594
-3.4773734057461096,0.030888435964774818,14.946588783691567,156.6088853330955,12.18669233674193,129241.81715579797
-3.336398808215862,0.03556480306223129,18.620517822916565,140.24458604170852,13.13973952677967,1553.6833222426615
-3.1954242106856143,0.040949150623804255,22.698768940489988,124.7312656234867,17.331332824679645,523.2748943570799
-3.0544496131553664,0.04714866363457394,27.329541464544395,107.3756737161849,20.846020011804935,319.53619586797265
-2.913475015625119,0.054286754393238594,31.89147460507568,92.19364012486999,27.235946573769354,203.80179215927575
-2.7725004180948716,0.06250551925273973,37.54754819487503,77.73741991008538,34.78416017240423,145.88695608414037
-2.6315258205646237,0.07196856730011521,42.55675281868617,67.7379087650965,41.52571332833929,112.80900252132611
-2.4905512230343763,0.08286427728546843,48.554978702636895,58.333429850186604,48.92895617192646,88.34988954360168
-2.3495766255041284,0.09540954763499938,55.312245301130766,49.79998763682437,56.29533248370511,70.7468706341844
-2.2086020279738805,0.10985411419875583,63.39078714124267,41.50161035940201,64.72438591855295,58.33303656115683
-2.067627430443633,0.12648552168552957,72.89460203821245,34.48860200249848,72.63132332282517,49.622000922455356
-1.9266528329133852,0.14563484775012436,82.56749852655796,29.36921969828071,80.92954924802181,40.95512947059779
-1.7856782353831375,0.16768329368110083,93.56976327604774,25.645766865479352,90.59748805780872,34.38251738867573
-1.64470363785289,0.19306977288832497,104.9070801478941,23.662043801586286,99.09393667018249,29.106575872375913
-1.5037290403226422,0.22229964825261944,112.49429915509981,20.798090649668872,107.69832588924922,24.68521328138076
-1.3627544427923943,0.2559547922699536,119.81301005482602,18.541832026566567,115.34017489276484,21.112398618356114
-1.2217798452621471,0.29470517025518095,126.66750705744336,17.469345493204948,121.11071020659536,18.82569087909809
-1.0808052477318992,0.3393221771895328,130.2737041379095,17.150623545000464,126.66762741493024,17.677419035284366
-0.9398306502016512,0.3906939937054617,130.423146838409,17.14992477743734,129.820782149347,17.161505747700012
-0.7988560526714035,0.44984326689694465,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
-0.6578814551411561,0.517947467923121,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
-0.5169068576109083,0.5963623316594643,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
-0.37593226008066033,0.6866488450043002,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
-0.23495766255041314,0.7906043210907697,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
-0.09398306502016521,0.9102981779915218,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
0.04699153251008206,1.0481131341546852,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
0.1879661300403304,1.2067926406393288,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
0.32894072757057785,1.3894954943731375,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
0.4699153251008252,1.5998587196060574,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
0.6108899226310736,1.8420699693267164,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
0.7518645201613209,2.1209508879201904,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
0.8928391176915682,2.44205309454865,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
1.0338137152218165,2.8117686979742307,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
1.174788312752064,3.2374575428176433,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
1.3157629102823112,3.727593720314938,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
1.4567375078125597,4.291934260128778,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
1.597712105342807,4.941713361323833,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
1.7386867028730542,5.689866029018293,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
1.8796613004033027,6.551285568595509,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
2.02063589793355,7.543120063354615,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
2.161610495463797,8.68511373751352,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
2.302585092994046,10.0,130.423146838409,17.14992477743734,130.423146838409,17.14992477743734
