log_lambda,lambda,avg_train_error_no_noise,avg_pred_error_no_noise,avg_train_error_with_noise,avg_pred_error_with_noise
-4.605170185988091,0.01,1.752590080452741,223.7705492148989,29731.60296247146,33579228526.28254
-4.4641955884578435,0.011513953993264475,2.253365430315051,213.96250267969236,29710.996352466787,33504957174.77129
-4.323220990927596,0.013257113655901088,2.877323297466688,203.46574993220491,29687.378081657604,33419566581.56936
-4.182246393397349,0.015264179671752334,3.652582125341076,192.1562295050506,29660.396771602736,33321414887.681957
-4.0412717958671,0.017575106248547922,4.633527090015744,180.26546211211445,29629.261498806853,33208591463.8785
-3.900297198336853,0.020235896477251575,5.865125072563625,167.76224621245248,29593.80677039086,33078947044.751564
-3.7593226008066054,0.023299518105153717,7.37550695350904,155.28964583710143,29552.718564999923,32930039377.296127
-3.6183480032763575,0.02682695795279726,9.18209160327112,142.9143442014738,29505.605657800534,32759080354.33892
-3.4773734057461096,0.030888435964774818,11.35683719101665,130.45467029875417,29451.595428241915,32562968374.08649
-3.336398808215862,0.03556480306223129,13.956589262411262,118.17058645825625,29389.6299887295,32338143661.173058
-3.1954242106856143,0.040949150623804255,17.01197131485654,106.41837489793757,29318.474274780274,32080674875.810112
-3.0544496131553664,0.04714866363457394,20.56587457410295,95.31690967650803,29237.418557536454,31785799836.561386
-2.913475015625119,0.054286754393238594,24.63763888923623,84.68048606348943,29144.76821570443,31448555340.09005
-2.7725004180948716,0.06250551925273973,29.243059351146176,74.49244611127286,29039.18592284773,31063277492.88995
-2.6315258205646237,0.07196856730011521,34.63103327916583,64.90342937788292,28917.998401508466,30622905393.107494
-2.4905512230343763,0.08286427728546843,40.722911658914875,55.93009340500341,28780.786864949845,30120166939.48078
-2.3495766255041284,0.09540954763499938,47.49190813700554,47.819144288705786,28625.421062911228,29548116755.7183
-2.2086020279738805,0.10985411419875583,54.97788643660042,40.66965771080721,28448.421482072165,28897819000.46488
-2.067627430443633,0.12648552168552957,62.977030557382776,34.503025563531104,28248.570873220953,28159720120.37831
-1.9266528329133852,0.14563484775012436,71.44069279845249,29.584607959801865,28029.274745280403,27323939611.908676
-1.7856782353831375,0.16768329368110083,80.03029394778783,25.880252548846585,27787.133992920997,26379298426.904835
-1.64470363785289,0.19306977288832497,88.27393622659791,23.285244291264416,27518.39092214878,25315092468.617886
-1.5037290403226422,0.22229964825261944,95.86179249043619,21.664844663806186,27227.2819782825,24123189035.60871
-1.3627544427923943,0.2559547922699536,102.09227556171675,20.95035454488126,26908.827370491126,22792388038.061546
-1.2217798452621471,0.29470517025518095,106.06932249573579,20.773648131197827,26559.858511768212,21318820802.29401
-1.0808052477318992,0.3393221771895328,107.98932762887048,20.814692500746652,26196.72416145261,19695990933.89174
-0.9398306502016512,0.3906939937054617,108.79061139696329,20.95119142343239,25822.341677730215,17920130561.98467
-0.7988560526714035,0.44984326689694465,108.90088251849106,20.985523105417986,25439.608431152537,16005077224.560347
-0.6578814551411561,0.517947467923121,108.90088251849106,20.985523105417986,25073.17640726801,13947425165.253613
-0.5169068576109083,0.5963623316594643,108.90088251849106,20.985523105417986,24761.276435075306,11766958311.432995
-0.37593226008066033,0.6866488450043002,108.90088251849106,20.985523105417986,24557.011123122942,9517301760.916586
-0.23495766255041314,0.7906043210907697,108.90088251849106,20.985523105417986,24458.883487903484,7261860757.478103
-0.09398306502016521,0.9102981779915218,108.90088251849106,20.985523105417986,24531.96126859788,5079213203.87537
0.04699153251008206,1.0481131341546852,108.90088251849106,20.985523105417986,24849.57554647572,3087860709.072719
0.1879661300403304,1.2067926406393288,108.90088251849106,20.985523105417986,25629.39629368705,1451418241.967829
0.32894072757057785,1.3894954943731375,108.90088251849106,20.985523105417986,25346.42343980189,387151545.7830092
0.4699153251008252,1.5998587196060574,108.90088251849106,20.985523105417986,15404.114598081158,27923689.978026915
0.6108899226310736,1.8420699693267164,108.90088251849106,20.985523105417986,6426.45686482638,77679.38131799198
0.7518645201613209,2.1209508879201904,108.90088251849106,20.985523105417986,3161.8062499299017,16009.327054444693
0.8928391176915682,2.44205309454865,108.90088251849106,20.985523105417986,1603.8347969147765,5407.6599359384345
1.0338137152218165,2.8117686979742307,108.90088251849106,20.985523105417986,799.3383066263555,2027.1914402328687
1.174788312752064,3.2374575428176433,108.90088251849106,20.985523105417986,396.75254010292105,763.0112844965774
1.3157629102823112,3.727593720314938,108.90088251849106,20.985523105417986,222.34616435163633,300.4988782179361
1.4567375078125597,4.291934260128778,108.90088251849106,20.985523105417986,153.88940703001225,131.97153479966042
1.597712105342807,4.941713361323833,108.90088251849106,20.985523105417986,126.43938014666526,67.28203204422465
1.7386867028730542,5.689866029018293,108.90088251849106,20.985523105417986,114.47945223997658,36.33183563243994
1.8796613004033027,6.551285568595509,108.90088251849106,20.985523105417986,109.30002286359526,22.223263244405754
2.02063589793355,7.543120063354615,108.90088251849106,20.985523105417986,108.90088251849106,20.985523105417986
2.161610495463797,8.68511373751352,108.90088251849106,20.985523105417986,108.90088251849106,20.985523105417986
2.302585092994046,10.0,108.90088251849106,20.985523105417986,108.90088251849106,20.985523105417986
