log_lambda,lambda,avg_train_error_no_noise,avg_test_error_no_noise,avg_train_error_with_noise,avg_test_error_with_noise,error_ratio_no_noise,error_ratio_with_noise,sparsity_ratio_no_noise,sparsity_ratio_with_noise
-6.907755278982137,0.001,0.6950565045742624,1.3113924373030932,1.0569958215141184,2.1397479348335304,1.8867421981848085,2.0243674490296457,0.8449999999999999,0.9009999999999998
-6.766780681451889,0.0011513953993264468,0.699324838101634,1.2928454879110893,1.043894103162679,2.0847620967701896,1.8487052332083733,1.9971011335862516,0.8213999999999997,0.8874
-6.625806083921641,0.0013257113655901094,0.7046635482894413,1.273367860535988,1.0297646028820555,2.025004797494658,1.8070579408102867,1.9664734948425806,0.794,0.8713999999999998
-6.484831486391394,0.0015264179671752333,0.711319770549308,1.253137194522262,1.0148822346560515,1.9606662493519533,1.7617072467345343,1.9319150364440387,0.7652000000000001,0.8522000000000004
-6.343856888861146,0.0017575106248547913,0.7194933954158248,1.2324041448940692,0.9994276089754942,1.8920099769152858,1.712877634105053,1.893093566681404,0.7315999999999998,0.8301999999999999
-6.202882291330899,0.0020235896477251575,0.7293657610329676,1.2116319589874582,0.9837515559315847,1.8197144091276272,1.6612131028353716,1.8497702983599447,0.6923999999999999,0.8064
-6.061907693800651,0.002329951810515372,0.7410982248545952,1.191153382385717,0.9682489721679223,1.7448520461999437,1.6072813865117859,1.802069608494597,0.6491999999999999,0.7772
-5.920933096270404,0.0026826957952797246,0.7549706543029514,1.1712836209291162,0.95323959129792,1.6685799533487256,1.5514293360323228,1.7504308135972473,0.6062,0.7423999999999998
-5.7799584987401555,0.0030888435964774815,0.7713350918781832,1.1523674579821914,0.9392492046697312,1.5920675810079958,1.4939907053576458,1.6950427778832302,0.5571999999999999,0.7005999999999999
-5.638983901209908,0.0035564803062231283,0.7905419238783219,1.1349486743717356,0.9270114481460792,1.5163391301470623,1.4356590587932234,1.6357285912483321,0.5124,0.6631999999999999
-5.49800930367966,0.004094915062380427,0.8126959770419575,1.1193047934531817,0.9175264089488732,1.4431295376008402,1.3772736977574513,1.5728479567733673,0.4598,0.6139999999999999
-5.357034706149412,0.004714866363457394,0.8379149433249121,1.1057986151389612,0.9120001399104055,1.3744776763780342,1.3197027024617387,1.5071024841213974,0.40779999999999994,0.5682000000000001
-5.216060108619165,0.005428675439323859,0.8657361936006664,1.0948367800361927,0.9113664402125056,1.3118174217589933,1.2646309443095807,1.4393962339156505,0.34600000000000003,0.5130000000000001
-5.075085511088917,0.006250551925273976,0.8960452731685576,1.0865683578763998,0.9160015429789852,1.2564217006963405,1.212626627708355,1.3716371007523132,0.29140000000000005,0.45440000000000014
-4.934110913558669,0.0071968567300115215,0.9280378295839842,1.08180091118193,0.9266981757248333,1.2098372936792725,1.1656862217210195,1.305535421749349,0.23340000000000002,0.396
-4.793136316028422,0.008286427728546842,0.9608472551441544,1.0805069999026156,0.9430581416130593,1.1727848544031714,1.1245356575853556,1.2435976136075497,0.18100000000000002,0.3299999999999999
-4.652161718498173,0.009540954763499945,0.994074866233269,1.082512423321582,0.9656424354504874,1.1455049879360695,1.0889646847459478,1.186262063350264,0.13720000000000002,0.2659999999999999
-4.511187120967926,0.010985411419875584,1.026609508934688,1.0875863139873312,0.9925852125081914,1.1271287893629116,1.059396298711395,1.135548641224201,0.09759999999999999,0.2034000000000001
-4.3702125234376785,0.012648552168552958,1.05618841835706,1.0951497778861314,1.0218734545144244,1.1170782793061749,1.0368886449159112,1.0931669419252994,0.0674,0.14340000000000003
-4.229237925907431,0.014563484775012436,1.0823076736033719,1.1045852257435698,1.050471038944211,1.1131966873050256,1.020583381864076,1.0597119254461864,0.043400000000000015,0.0962
-4.088263328377183,0.016768329368110083,1.10393198372793,1.113381586933502,1.077752738418188,1.1148770985432823,1.0085599505629514,1.034446082855314,0.024600000000000007,0.06120000000000001
-3.9472887308469358,0.019306977288832496,1.1205340061987008,1.121838574448727,1.1017892223125498,1.1194097350218453,1.001164237981899,1.01599263484563,0.014200000000000008,0.03560000000000002
-3.806314133316688,0.022229964825261943,1.1327631547927721,1.1296964104416893,1.11975059448623,1.1246941054022779,0.9972926870563301,1.0044148321424344,0.007000000000000002,0.01680000000000001
-3.66533953578644,0.025595479226995357,1.1398838333766286,1.1343103775935213,1.1321806051590904,1.1300968158303315,0.9951105054568611,0.9981594903505117,0.0024,0.007800000000000002
-3.5243649382561926,0.029470517025518096,1.1433536114734317,1.136583812989463,1.1406894035190676,1.1350000323488474,0.9940789984690348,0.9950123397721866,0.0012000000000000001,0.0034000000000000002
-3.3833903407259447,0.03393221771895328,1.1455257697024124,1.1380367852229163,1.1444216482571294,1.1372671473443734,0.9934624041836775,0.9937483698218643,0.0006,0.001
-3.2424157431956973,0.03906939937054617,1.1462931302479162,1.1385487481204575,1.1459317096895234,1.1382635250343598,0.9932439775454435,0.993308340636423,0.0,0.0002
