log_lambda,lambda,train_error_no_noise,pred_error_no_noise,train_error_with_noise,pred_error_with_noise
-4.605170185988091,0.01,1.7061902973826961,205.92326520978727,12.388675000546566,9003220.20848085
-4.4641955884578435,0.011513953993264475,2.2094566716606816,195.48540035731463,12.257839509707908,7974401.219501505
-4.323220990927596,0.013257113655901088,2.86206869691374,183.96431745431744,12.075887299371473,6866360.410802548
-4.182246393397349,0.015264179671752334,3.6084623582271633,171.40945324110498,11.927628100181584,5701019.219031656
-4.0412717958671,0.017575106248547922,4.568004296544156,157.78899502152683,11.762413649197196,4547470.500545919
-3.900297198336853,0.020235896477251575,5.850419521058644,143.94981344460672,11.664259809045035,3402294.8382750433
-3.7593226008066054,0.023299518105153717,7.475702254575999,131.17664494731366,11.999616220594916,2297424.569627584
-3.6183480032763575,0.02682695795279726,9.416697927866345,118.51543526386763,12.911631227865577,1290780.708674883
-3.4773734057461096,0.030888435964774818,11.888750074221981,107.12268433048251,14.367678722272817,516175.09568206395
-3.336398808215862,0.03556480306223129,14.82372883670021,96.0426426061585,14.54458174197674,63528.92385214593
-3.1954242106856143,0.040949150623804255,17.964170911079332,86.00727424170285,15.477686320424894,1227.210615140497
-3.0544496131553664,0.04714866363457394,21.40719314406332,76.60316403303399,19.242120493260742,350.36023401857346
-2.913475015625119,0.054286754393238594,25.541129231546478,67.21367623341533,22.624612599608124,156.01540199765842
-2.7725004180948716,0.06250551925273973,30.287354180974297,58.17537994277592,26.354097672031624,94.53988401761187
-2.6315258205646237,0.07196856730011521,35.92102219149375,50.41459048982946,30.948175732052952,70.96461181608515
-2.4905512230343763,0.08286427728546843,41.68359774473014,43.32328438029834,36.14983348655509,57.11026584787461
-2.3495766255041284,0.09540954763499938,48.02220664688223,37.9887841550724,42.50492805448962,46.75800196144946
-2.2086020279738805,0.10985411419875583,53.231059891896386,34.10145387343565,49.8711862803248,37.795016745160254
-2.067627430443633,0.12648552168552957,58.790423465897305,31.306306911625583,57.64151971202113,31.523670888692585
-1.9266528329133852,0.14563484775012436,65.69705778192662,29.46055963987329,66.0161114517629,28.284241414772932
-1.7856782353831375,0.16768329368110083,73.55430007279638,27.759945882785868,73.1686056744691,26.44335208468661
-1.64470363785289,0.19306977288832497,80.72668596537214,26.78722481313433,80.60769373374964,25.636614957525865
-1.5037290403226422,0.22229964825261944,86.6161492811328,27.271398455590976,85.71965182054761,25.662748310136738
-1.3627544427923943,0.2559547922699536,91.11097081311345,29.12914823198109,89.00239093744568,27.168592151399768
-1.2217798452621471,0.29470517025518095,93.24479898203144,30.029684885729342,91.9277556924802,29.40346097277955
-1.0808052477318992,0.3393221771895328,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
-0.9398306502016512,0.3906939937054617,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
-0.7988560526714035,0.44984326689694465,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
-0.6578814551411561,0.517947467923121,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
-0.5169068576109083,0.5963623316594643,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
-0.37593226008066033,0.6866488450043002,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
-0.23495766255041314,0.7906043210907697,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
-0.09398306502016521,0.9102981779915218,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
0.04699153251008206,1.0481131341546852,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
0.1879661300403304,1.2067926406393288,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
0.32894072757057785,1.3894954943731375,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
0.4699153251008252,1.5998587196060574,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
0.6108899226310736,1.8420699693267164,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
0.7518645201613209,2.1209508879201904,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
0.8928391176915682,2.44205309454865,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
1.0338137152218165,2.8117686979742307,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
1.174788312752064,3.2374575428176433,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
1.3157629102823112,3.727593720314938,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
1.4567375078125597,4.291934260128778,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
1.597712105342807,4.941713361323833,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
1.7386867028730542,5.689866029018293,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
1.8796613004033027,6.551285568595509,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
2.02063589793355,7.543120063354615,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
2.161610495463797,8.68511373751352,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
2.302585092994046,10.0,94.25785386251967,30.63834744195468,94.25785386251967,30.63834744195468
