lambda,log_lambda,train_error_no_noise,test_error_no_noise,train_error_with_noise,test_error_with_noise,sparsity_no_noise,sparsity_with_noise,error_ratio_no_noise,error_ratio_with_noise
0.001,-6.907755278982137,4.630755557550078e-06,2.188602398005855,0.02781699317242491,34741.04948442327,0.71,1.0,472623.1758092938,1248914.620968531
0.0011513953993264468,-6.766780681451889,6.036860549387134e-06,2.2118040611050658,0.027719879509373376,34600.98021754996,0.684,1.0,366383.1627400453,1248237.0352962667
0.0013257113655901094,-6.625806083921641,8.063183531392973e-06,2.2569831520883747,0.026731249086477667,34430.676522957576,0.685,1.0,279912.16413481097,1288030.9637447791
0.0015264179671752333,-6.484831486391394,1.0316433188824707e-05,2.236152066037067,0.02838155710104972,34287.108656716366,0.649,1.0,216756.31733450107,1208077.0809945527
0.0017575106248547913,-6.343856888861146,1.3784907983757536e-05,2.2832441609482745,0.02891475243701092,34171.214065752756,0.633,1.0,165633.61638964675,1181791.6871393842
0.0020235896477251575,-6.202882291330899,1.8586638980187624e-05,2.278895764356158,0.02679265687292203,33891.40403423865,0.618,1.0,122609.35216879933,1264951.2213359834
0.002329951810515372,-6.061907693800651,2.412959804456405e-05,2.2756498676536845,0.028786290243235688,33645.15640495388,0.618,1.0,94309.48097232585,1168790.9807294444
0.0026826957952797246,-5.920933096270404,3.074670861330515e-05,2.3048576228284086,0.02693663903088244,33446.02083985536,0.592,1.0,74962.7432261487,1241655.3082776961
0.0030888435964774815,-5.7799584987401555,4.085821301899357e-05,2.3201593834549694,0.028049401782540093,33093.76712286481,0.595,1.0,56785.63040376747,1179838.606877694
0.0035564803062231283,-5.638983901209908,5.3837519716638276e-05,2.2922083240700966,0.02686626687051987,32787.46661872484,0.593,1.0,42576.410208616995,1220395.3298291042
0.004094915062380427,-5.49800930367966,6.938115865369656e-05,2.318654424037617,0.027212283551784636,32234.530989440984,0.57,1.0,33419.07902707072,1184558.1032587388
0.004714866363457394,-5.357034706149412,9.414556411968083e-05,2.368463620558659,0.028638921315099267,31912.378587771724,0.566,1.0,25157.463792428847,1114300.9974662208
0.005428675439323859,-5.216060108619165,0.00012020222447193049,2.3316570635577176,0.026246959865388896,31314.47144359644,0.553,1.0,19397.78630388162,1193070.420505726
0.006250551925273976,-5.075085511088917,0.000161083052259616,2.3510578567265497,0.027182373206592548,30717.617257130347,0.534,1.0,14595.314800326556,1130056.4900521783
0.0071968567300115215,-4.934110913558669,0.00020828269354940083,2.3647959228341353,0.026762855959384376,30079.062283113293,0.535,1.0,11353.780203890292,1123910.7787585014
0.008286427728546842,-4.793136316028422,0.00027682874743099656,2.3545638581953936,0.025520985046519905,29256.61651176334,0.528,0.999,8505.488971235915,1146374.8933841733
0.009540954763499945,-4.652161718498173,0.00036409481621988706,2.3563147668993087,0.027390778943058913,28403.05383650967,0.517,0.998,6471.706439995741,1036956.7764230113
0.010985411419875584,-4.511187120967926,0.0004815877586180305,2.3487551209524193,0.02487750972951548,27449.79419932194,0.519,0.995,4877.107191620553,1103397.9886963775
0.012648552168552958,-4.3702125234376785,0.0006362417357257724,2.361539795507185,0.026128947487909837,26391.980382014328,0.508,0.994,3711.702113998124,1010066.723668307
0.014563484775012436,-4.229237925907431,0.0008360857928022134,2.354514817359673,0.0252742542584492,25219.036707716263,0.509,0.993,2816.116285708329,997815.2648870153
0.016768329368110083,-4.088263328377183,0.0010993403696503137,2.3435815391823187,0.02449000686578737,23758.004466071794,0.509,0.986,2131.807039823146,970110.1594733243
0.019306977288832496,-3.9472887308469358,0.0014467581770853694,2.330011542120437,0.023990725527127308,22274.793250086383,0.507,0.979,1610.505182569256,928475.18199895
0.022229964825261943,-3.806314133316688,0.0018944900238833033,2.3208523558430914,0.02420735406154856,20696.20094792515,0.494,0.974,1225.053880772534,854955.1055974105
0.025595479226995357,-3.66533953578644,0.0024849370511819597,2.3114764841081272,0.024455618512978755,18912.768884616027,0.494,0.971,930.1951866380978,773350.6668244313
0.029470517025518096,-3.5243649382561926,0.00324593440923551,2.2976302769318258,0.024397148227662733,16893.496074279705,0.483,0.949,707.8486461077225,692437.3257332181
0.03393221771895328,-3.3833903407259447,0.004229806261210092,2.277240686825058,0.0249653156518619,14917.817676623334,0.482,0.937,538.3794306866362,597541.7208678782
0.03906939937054617,-3.2424157431956973,0.005499901842302767,2.2560495391556104,0.023319883252607473,12780.686069763553,0.467,0.894,410.198146047461,548059.6078170547
0.044984326689694466,-3.101441145665449,0.007115274611267224,2.222868883991985,0.022840910876063856,10577.270991950087,0.464,0.853,312.40802434694706,463084.4649472602
0.0517947467923121,-2.960466548135202,0.009232398460157441,2.187393160812511,0.023487912521973586,8367.67542642529,0.462,0.799,236.9257750575043,356254.5380989946
0.05963623316594643,-2.819491950604954,0.011925070004280296,2.151059814999985,0.024096567622589323,6179.652860727835,0.453,0.74,180.38131551663005,256453.65586983933
0.06866488450043001,-2.678517353074706,0.015402788558222106,2.1150490998350953,0.024180006144733063,4062.8604173473127,0.449,0.689,137.31598611772597,168025.61558621825
0.07906043210907697,-2.5375427555444587,0.019847452947270663,2.0722391509909346,0.02534948223838383,2206.936899366736,0.449,0.629,104.40831659842277,87060.43297503816
0.09102981779915217,-2.396568158014211,0.02558872588816149,2.028580091772554,0.027502444128929635,787.4247417614022,0.446,0.584,79.2763227305142,28631.082316539112
0.10481131341546852,-2.2555935604839634,0.03299853185244014,1.9758450460549457,0.0283525174593848,83.12289085868355,0.439,0.522,59.87675618086137,2931.764030398984
0.1206792640639329,-2.114618962953715,0.042541174782713,1.916121296856643,0.03296216096425289,6.866596925299046,0.428,0.466,45.04156988243956,208.31755942050634
0.13894954943731375,-1.9736443654234679,0.05421093803906203,1.8527267154657951,0.04225852235212876,3.4170822864547263,0.413,0.439,34.17625266197758,80.86137650486474
0.15998587196060574,-1.8326697678932204,0.06821047705719069,1.7850474126991218,0.054783933323853375,2.738762881863153,0.403,0.423,26.169695473650755,49.99208190607725
0.18420699693267165,-1.6916951703629721,0.08542863455342245,1.7172220671336926,0.0717718367289586,2.2992800856571347,0.391,0.408,20.10124680220465,32.03596550468964
0.21209508879201905,-1.5507205728327247,0.10687183534763486,1.6499157538506481,0.09551305576357494,1.9837403444147914,0.382,0.394,15.438265362279678,20.76931083982044
0.244205309454865,-1.4097459753024775,0.13295269902001394,1.5845874447883292,0.12217780185701176,1.8119196246957212,0.365,0.372,11.918430061730408,14.830186802806155
0.28117686979742307,-1.2687713777722291,0.16368297991833536,1.5179075834681903,0.15401058687838082,1.6811498887329281,0.343,0.358,9.273460100894448,10.915807301354548
0.32374575428176433,-1.1277967802419817,0.20048259254655515,1.4511473893816207,0.19061175685170195,1.5603263985556204,0.325,0.335,7.238271268088485,8.185887504145779
0.3727593720314938,-0.9868221827117345,0.24368372364582866,1.3889323369228568,0.23455065243511808,1.4655751958736505,0.296,0.31,5.699733720999516,6.248437941476463
0.42919342601287785,-0.8458475851814861,0.29254964004775363,1.3317180408759475,0.28487568385284284,1.3896091310929806,0.274,0.289,4.552109654479724,4.877949259477006
0.49417133613238334,-0.7048729876512387,0.3492527144942311,1.2771382347558355,0.34273655453721924,1.3192070992541927,0.253,0.26,3.656773968400841,3.8490411419215405
0.5689866029018293,-0.5638983901209913,0.4159520230623829,1.2277433401756002,0.40876477453579174,1.2579877817144915,0.226,0.237,2.951646517154859,3.077534709645929
0.655128556859551,-0.422923792590743,0.48774536119829975,1.1911556682700626,0.48064363374041535,1.2104943477466932,0.194,0.201,2.442167087645107,2.5184861772255442
0.7543120063354615,-0.28194919506049576,0.5606888036849085,1.1652037175434198,0.5555503841737446,1.179799690550444,0.152,0.161,2.0781647678455015,2.123659211045509
0.868511373751352,-0.1409745975302484,0.6357899329557771,1.1454561786016706,0.6317748044308871,1.155223802193186,0.134,0.135,1.801626794052028,1.8285373112241001
1.0,0.0,0.7208168270762069,1.132721516362526,0.714709702056434,1.135541187886053,0.108,0.114,1.5714415560428798,1.5888145699138556
