lambda,train_no,test_no,train_with,test_with,sparse_no,sparse_with
3.0,1.1660489533800273,1.0589444663967151,1.0986293915080179,1.1112781651856627,0.0,0.023
2.0,1.1228439033734325,1.0629763348393084,0.9576153562798762,1.4868312328865476,0.009,0.109
1.9,1.1084192197882705,1.063420320111607,0.9475116457593726,1.6063200054295295,0.013,0.121
1.8,1.0888797515763384,1.063475131255766,0.9431911218208084,1.7608434833181832,0.018,0.14
1.7,1.063599923483987,1.0657575418933152,0.9409453120665443,1.972316189928848,0.025,0.165
1.6,1.032435973428802,1.0704948834077654,0.9448973347049275,2.289960436891961,0.031,0.194
1.5,0.9942828591703726,1.0774981200410767,0.9773545920818933,2.81866463886125,0.043,0.223
1.4,0.9525008525381908,1.0863067794220973,1.0496475599797832,3.770761483998254,0.048,0.257
1.3,0.9062024483628065,1.0992560405958933,1.1741690023667553,5.815651493197344,0.06,0.285
1.26,0.8854516092727781,1.1051549645148722,1.2386021028460186,7.293490588201734,0.067,0.302
1.22,0.8634524509076296,1.1114493049584622,1.3195514300094036,9.499181464878209,0.073,0.323
1.18,0.8410926012679265,1.1181984176357995,1.4306001300877498,13.37020576244848,0.078,0.346
1.16,0.8299745100146433,1.121803520839131,1.5052948539065187,16.70937473762103,0.08,0.365
1.15,0.8243609940397755,1.1236574879183197,1.5478663200566563,19.183526733574066,0.081,0.372
1.14,0.8187311669662272,1.1255593313690155,1.5947360701561757,22.823650511614492,0.083,0.38
1.13,0.8130677008479494,1.12751825820769,1.6485602052447124,28.09301206189951,0.085,0.386
1.1,0.7954688206181009,1.1339302430469742,1.8764282210888532,60.19838308283752,0.094,0.414
1.09,0.7893758021726662,1.136145476794507,1.9935164635189757,93.18151015765376,0.095,0.43
